University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Staff with PhD Rank,International Research Network Rank,Papers per Faculty Rank,Citations per Paper Rank,International Faculty Ratio Rank,International Students Ratio Rank,Academic Reputation Rank,Web Impact Rank,Faculty Student Ratio Rank,Employer Reputation Rank,Faculty Staff with PhD Score,International Research Network Score,Papers per Faculty Score,Citations per Paper Score,International Faculty Ratio Score,International Students Ratio Score,Academic Reputation Score,Web Impact Score,Faculty Student Ratio Score,Employer Reputation Score
Effat University,/universities/effat-university,Asia,Saudi Arabia,Jeddah,https://www.topuniversities.com/sites/default/files/effat-university_23395_small.jpg,n/a,73,,False,False,82,101+,9,59,17,18,51+,101+,51,51+,24.7,15.2,96.8,39.2,100,74.2,8.2,11.5,46,8.2
German University in Cairo,/universities/german-university-cairo,Africa,Egypt,Cairo,https://www.topuniversities.com/sites/default/files/german-university-in-cairo_592560e29988f300e232125e_small.jpg,n/a,74,,False,False,101+,101+,90,101+,98,101+,51+,85,101+,44,1,8.9,19.8,6.5,8.3,1.7,35.3,24.8,9.9,50.4
Mustansiriyah University,/universities/mustansiriyah-university,Asia,Iraq,Baghdad,https://www.topuniversities.com/sites/default/files/-mustansiriyah-university_592560cf2aeae70239af5833_small.jpg,n/a,75,,False,False,101+,101+,101+,101+,78,90,51+,93,11,51+,2.2,13,10.3,1,16.8,9.7,13.2,22.2,95.2,19.8
Notre Dame University-Louaize NDU,/universities/notre-dame-university-louaize-ndu,Asia,Lebanon,Koura,https://www.topuniversities.com/sites/default/files/notre-dame-university-louaize-ndu_5af915a3cb4de7546e1a835d_small.jpg,n/a,76,,False,False,80,101+,79,101+,62,54,51+,101+,56,37,29.3,5.1,22.3,18.4,38.2,27.6,17,14.6,41.6,56.1
Prince Sattam Bin Abdulaziz University,/universities/prince-sattam-bin-abdulaziz-university,Asia,Saudi Arabia,Al-Kharj,https://www.topuniversities.com/sites/default/files/230214120217pm975130PSAU-Logo-48x48.jpg,n/a,77,,False,False,101+,11,52,71,44,101+,51+,68,55,51+,1.7,94.4,36.6,32.5,57.6,4.9,12.4,31.2,41.9,2.9
Taif University,/universities/taif-university,Asia,Saudi Arabia,Ta'if,https://www.topuniversities.com/sites/default/files/taif-university_592560cf2aeae70239af5462_small.jpg,n/a,78,,False,False,14,19,32,101+,32,101+,51+,36,101+,51+,96.2,84.5,51,8.4,85.5,7,15,63.5,6,3.4
Tanta University ,/universities/tanta-university,Africa,Egypt,Tanta,https://www.topuniversities.com/sites/default/files/tanta-university-_592560cf2aeae70239af4f3f_small.jpg,n/a,79,,False,False,101+,17,101+,45,101+,101+,51+,50,101+,51+,6.6,89.3,10.6,49.1,1.5,4.8,26.4,42.2,4.2,15.9
University of Bisha,/universities/university-bisha,Asia,Saudi Arabia,Bisha City,https://www.topuniversities.com/sites/default/files/220206075110am217721Logo-48x48.jpg,n/a,80,,False,False,39,101+,101+,83,62,87,51+,101+,74,35,71.7,8.1,6.8,27.6,39.6,10.7,5.4,10.6,31.8,58.1
University of Dubai,/universities/university-dubai,Asia,United Arab Emirates,Dubai,https://www.topuniversities.com/sites/default/files/university-of-dubai_592560df9988f300e2320a7d_small.jpg,n/a,81,,False,False,63,101+,19,60,8,28,51+,101+,70,51+,47.7,3.1,84.4,36.3,100,47.3,15.3,12.3,33.7,18.8
University of Carthage,/universities/university-carthage,Africa,Tunisia,Tunis,https://www.topuniversities.com/sites/default/files/universit-de-carthage_592560e39988f300e2321663_small.jpg,n/a,82,,False,False,101+,21,50,101+,101+,101+,51+,101+,28,n/a,1.9,83.4,37.3,18.1,1.6,2.3,9.4,6.5,73.6,n/a
Al Nahrain University,/universities/al-nahrain-university,Asia,Iraq,Baghdad,https://www.topuniversities.com/sites/default/files/210630065320am779638logo-nahrainuniv-edu-iq-%D8%B4%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D9%86%D9%87%D8%B1%D9%8A%D9%86-48x48.jpg,n/a,83,,False,False,101+,101+,64,101+,101+,101+,51+,101+,5,51+,2.7,4.9,30.1,2.1,1.6,1.2,9.3,12.6,99.5,21
Al-Balqa Applied University,/universities/al-balqa-applied-university,Asia,Jordan,As-Salt,https://www.topuniversities.com/sites/default/files/al-balqa-applied-university_592560cf2aeae70239af59fa_small.jpg,n/a,84,,False,False,56,60,91,74,101+,101+,51+,31,101+,51+,58.9,41.9,19.8,30.4,3.1,4,19.2,65.6,4.6,27.8
Applied Science Private University - Jordan,/universities/applied-science-private-university-jordan,Asia,Jordan,Amman,https://www.topuniversities.com/sites/default/files/applied-science-private-university-jordan_592560cf2aeae70239af59fc_small.jpg,n/a,85,6,False,False,54,101+,53,101+,90,24,51+,101+,101+,50,61.5,6.8,35.6,7.6,13.1,59.2,20.8,15,9.4,42
British University in Egypt,/universities/british-university-egypt,Africa,Egypt,El Shorouk,https://www.topuniversities.com/sites/default/files/british-university-in-egypt_592560e29988f300e232122d_small.jpg,n/a,86,,False,False,101+,101+,101+,90,101+,101+,51+,76,46,51+,1,13.4,17,23.2,2.4,6.6,23,29.3,51.6,19.8
Dhofar University,/universities/dhofar-university,Asia,Oman,Salalah,https://www.topuniversities.com/sites/default/files/dhofar-university_592560cf2aeae70239af5466_small.jpg,n/a,87,5,False,False,8,76,28,43,15,80,51+,101+,101+,51+,99.3,27.1,58.8,51.1,100,12.5,9.7,12.1,7.8,12.4
Université de Monastir,/universities/universite-de-monastir,Africa,Tunisia,Monastir,https://www.topuniversities.com/sites/default/files/universit-de-monastir_592560e09988f300e2320cdd_small.jpg,n/a,88,,False,False,100,45,45,101+,101+,101+,51+,101+,24,n/a,13.1,58.9,40.8,16.1,1,5.2,11.4,6.2,77.3,n/a
University of Business and Technology ,/universities/university-business-technology,Asia,Saudi Arabia,Jeddah,https://www.topuniversities.com/sites/default/files/university-of-business-and-technology-_592560cf2aeae70239af59d8_small.jpg,n/a,89,5,False,False,101+,101+,101+,101+,43,48,51+,101+,54,51+,2.9,1.5,4.5,9.9,59.1,31.2,35.8,8.5,43.6,15.8
University of Khartoum,/universities/university-khartoum,Africa,Sudan,Khartoum,https://www.topuniversities.com/sites/default/files/university-of-khartoum_592560cf2aeae70239af583c_small.jpg,n/a,90,,False,False,n/a,47,69,101+,n/a,101+,51+,29,101+,51+,n/a,58.6,26.4,8,n/a,2.8,25.7,66.3,6.2,19.5
Université Mohammed V de Rabat,/universities/universite-mohammed-v-de-rabat,Africa,Morocco,Rabat,https://www.topuniversities.com/sites/default/files/universit-mohammed-v-de-rabat_592560cf2aeae70239af5976_small.jpg,n/a,91,,False,False,4,18,21,101+,101+,101+,51+,64,101+,51+,100,86.5,75.2,2.9,3,6.5,10.3,32.2,1.2,6.6
American University in the Emirates,/universities/american-university-emirates,Asia,United Arab Emirates,Dubai,https://www.topuniversities.com/sites/default/files/american-university-in-the-emirates_592560cf2aeae70239af5a12_small.jpg,n/a,92,4,False,False,18,101+,40,101+,7,15,51+,101+,89,51+,92.4,3.5,44.7,16.8,100,89.2,9.3,14.7,22.7,9.8
Cadi Ayyad University,/universities/cadi-ayyad-university,Africa,Morocco,Marrakech,https://www.topuniversities.com/sites/default/files/cadi-ayyad-university_592560cf2aeae70239af583f_small.jpg,n/a,93,,False,False,20,46,59,101+,101+,101+,51+,28,101+,51+,89.7,58.7,32.8,16,1.3,3.9,8.9,66.8,1.1,4
Jazan University,/universities/jazan-university,Asia,Saudi Arabia,Jazan,https://www.topuniversities.com/sites/default/files/jazan-university_592560cf2aeae70239af52e3_small.jpg,n/a,94,,False,False,101+,62,101+,101+,34,101+,51+,66,42,51+,1.1,39,11.1,17.6,75.4,7.1,12.4,31.8,54.4,9.6
Saudi Electronic University,/universities/saudi-electronic-university,Asia,Saudi Arabia,Riyadh,https://www.topuniversities.com/sites/default/files/Saudi_Electronic_University.jpg,n/a,95,4,False,False,64,101+,101+,96,64,75,51+,n/a,101+,31,44.9,8.7,5.6,20.9,37.3,15.2,7.9,n/a,8.6,65.2
Suez Canal University,/universities/suez-canal-university,Africa,Egypt,Ismailia ,https://www.topuniversities.com/sites/default/files/suez-canal-university_592560e29988f300e23212c0_small.jpg,n/a,96,,False,False,101+,37,101+,39,101+,101+,51+,71,78,51+,13,66.6,11.7,57,2,4.3,14,30.7,27.9,7.3
Taibah University,/universities/taibah-university,Asia,Saudi Arabia,Medina,https://www.topuniversities.com/sites/default/files/taibah-university_592560cf2aeae70239af52db_small.jpg,n/a,97,,False,False,78,54,65,47,50,101+,51+,61,101+,51+,33.7,47.4,29.8,46.7,53.3,5.7,22.9,33.9,4.2,5.9
University of Basrah,/universities/university-basrah,Asia,Iraq,Basrah,https://www.topuniversities.com/sites/default/files/university-of-basrah_592560df9988f300e23208e3_small.jpg,n/a,98,,False,False,101+,67,101+,101+,101+,101+,51+,91,50,51+,1.1,31.3,8.9,2.7,1.3,1.6,16.4,22.9,48.3,23.6
University of Ha'il,/universities/university-hail,Asia,Saudi Arabia,Hail,https://www.topuniversities.com/sites/default/files/university-of-hail_592560cf2aeae70239af5464_small.jpg,n/a,99,,False,False,101+,58,101+,62,37,101+,51+,90,66,51+,8.3,42.4,14.5,35.7,69.4,3.4,12.1,23.1,36.2,3.7
University of Kufa,/universities/university-kufa,Asia,Iraq,Kufa,https://www.topuniversities.com/sites/default/files/university-of-kufa_592560cf2aeae70239af5696_small.jpg,n/a,100,,False,False,101+,101+,101+,101+,101+,101+,51+,101+,39,51+,1,11.7,15.3,1,3.6,1.3,11.4,17.4,58,35
University of Technology - Iraq,/universities/university-technology-iraq,Asia,Iraq,Baghdad,https://www.topuniversities.com/sites/default/files/university-of-technology-iraq_592560cf2aeae70239af5a05_small.jpg,n/a,101,,False,False,101+,101+,37,101+,101+,101+,51+,101+,9,51+,1.6,13.2,47.3,3.3,1.3,1.1,4.8,19.8,96.5,5.1
Université de Sousse,/universities/universite-de-sousse,Africa,Tunisia,Sousse,https://www.topuniversities.com/sites/default/files/230205074233pm370725logo-univ-sousse-48x48.jpg,n/a,102,,False,False,101+,85,101+,101+,101+,101+,51+,101+,17,51+,1.7,23.8,11.8,6.3,1.1,5.1,13.2,6,87.2,2.1
Al-Zaytoonah University of Jordan,/universities/al-zaytoonah-university-jordan,Asia,Jordan,Amman,https://www.topuniversities.com/sites/default/files/al-zaytoonah-university-of-jordan_592560cf2aeae70239af59fb_small.jpg,n/a,103,,False,False,34,101+,39,101+,86,23,51+,34,101+,51+,78.2,6.3,44.9,6.3,13.8,61.6,12.5,64.5,2.5,15.7
Benha University - Egypt,/universities/benha-university-egypt,Africa,Egypt,Benha,https://www.topuniversities.com/sites/default/files/benha-university-egypt_23887_small.jpg,n/a,104,,False,False,101+,38,101+,55,101+,101+,51+,40,101+,51+,12.8,66.3,10,41.2,1,4.4,11.5,57.7,5.4,5.1
Kafrelsheikh University,/universities/kafrelsheikh-university,Africa,Egypt,Kafr El Sheikh,https://www.topuniversities.com/sites/default/files/kafrelsheikh-university_592560e29988f300e2321287_small.jpg,n/a,105,,False,False,101+,28,77,16,101+,101+,51+,73,101+,51+,3.9,76.7,22.7,85,1.2,6,9.7,30.3,1.2,1.9
Middle East University Jordan,/universities/middle-east-university-jordan,Asia,Jordan,Amman,https://www.topuniversities.com/sites/default/files/middle-east-university_592560cf2aeae70239af5a02_small.jpg,n/a,106,,False,False,29,101+,57,101+,100,27,51+,3,101+,51+,86.1,5.8,33.3,4,7.4,50.6,10.9,99.8,3.8,11.1
National University of Science and Technology,/universities/national-university-science-technology,Asia,Oman,Bousher,https://www.topuniversities.com/sites/default/files/national-university-of-science-technology_592560e09988f300e2320d2c_large-48x48.jpg,n/a,107,,False,False,101+,101+,101+,101+,23,67,51+,101+,87,51+,1.1,4.1,14.2,20.4,93.8,21.6,19.7,1.5,23,21.1
Philadelphia University At Jordan,/universities/philadelphia-university-jordan,Asia,Jordan,Amman,https://www.topuniversities.com/sites/default/files/philadelphia-university-at-jordan_592560e29988f300e2321361_small.jpg,n/a,108,,False,False,85,101+,66,101+,71,21,51+,1,101+,51+,22.2,6.6,29.1,5.4,21.2,65.9,16.1,100,7.1,12.5
Sohar University,/universities/sohar-university,Asia,Oman,Sohar,https://www.topuniversities.com/sites/default/files/231220115958am894366SU-logo-resized-48x48.jpg,n/a,109,,False,False,45,101+,35,17,29,101+,51+,101+,101+,51+,68.8,3.8,47.8,84.5,90.5,4.2,9.8,10,1.9,12.1
University of Babylon,/universities/university-babylon,Asia,Iraq,Hillah,https://www.topuniversities.com/sites/default/files/university-of-babylon_592560e09988f300e2320b39_small.jpg,n/a,110,,False,False,101+,65,67,101+,101+,101+,51+,77,90,51+,9.1,34.8,28.1,1.8,1.1,1.1,12.6,28.7,22.5,25.4
University of Jeddah,/universities/university-jeddah,Asia,Saudi Arabia,Jeddah,https://www.topuniversities.com/sites/default/files/university-of-jeddah_592560cf2aeae70239af5aa3_small.jpg,n/a,111,,False,False,101+,42,96,52,68,101+,51+,89,94,51+,2.4,62.3,17.4,42,26.6,4.9,9.1,23.6,21.3,4.1
University of Tabuk,/universities/university-tabuk,Asia,Saudi Arabia,Tabuk,https://www.topuniversities.com/sites/default/files/tabuk-university_592560cf2aeae70239af5461_small.jpg,n/a,112,,False,False,101+,33,101+,33,57,101+,51+,84,101+,51+,1.3,70.5,14.7,64.7,43.7,4.5,10.4,25.2,13,2
Amman Arab University,/universities/amman-arab-university,Asia,Jordan,Amman,https://www.topuniversities.com/sites/default/files/amman-arab-university_592560e29988f300e2321320_small.jpg,n/a,113,,False,False,13,101+,101+,5,101+,37,51+,101+,101+,51+,97.1,3.5,10.8,98.7,5,39.4,9.4,19.1,4.2,6.6
Arab American University,/universities/arab-american-university,Asia,Palestinian Territories,Jenin,https://www.topuniversities.com/sites/default/files/arab-american-university-jenin-_592560cf2aeae70239af566e_small.jpg,n/a,114,,False,False,68,101+,101+,101+,101+,22,51+,101+,101+,51+,42.8,6.4,7.2,2.3,6.2,63.6,12.1,20.5,4.8,24.1
Beni-Suef University,/universities/beni-suef-university,Africa,Egypt,Beni-Suef,https://www.topuniversities.com/sites/default/files/beni-suef-university_592560e29988f300e2321229_small.jpg,n/a,115,,False,False,101+,51,76,30,101+,101+,51+,74,101+,51+,8.5,55.9,22.8,69.6,4.7,1.7,12.2,29.8,1.6,4.3
German University of Technology in Oman (GUTECH),/universities/german-university-technology-oman-gutech,Asia,Oman,Muscat,https://www.topuniversities.com/sites/default/files/211007113405am821851gutech-48x48.jpg,n/a,116,,False,False,101+,101+,58,101+,27,91,51+,101+,101+,51+,8.9,6.1,33.1,12.2,92.5,9.7,13.8,7.2,2.1,24.6
Islamic University of Gaza,/universities/islamic-university-gaza,Asia,Palestinian Territories,Gaza,https://www.topuniversities.com/sites/default/files/220109082521am441760final-iug-logo-48x48.jpg,n/a,117,,False,False,101+,101+,101+,29,101+,101+,51+,25,101+,51+,11.6,11.2,12.4,69.9,5.9,3.5,20,68,1.5,4.8
Majmaah Universiyty,/universities/majmaah-universiyty,Asia,Saudi Arabia,Majmaah,https://www.topuniversities.com/sites/default/files/majmaah-university_592560e39988f300e232144b_small.jpg,n/a,118,,False,False,101+,74,83,32,59,101+,51+,62,86,51+,3.2,28.1,21.6,65.7,41.5,4.6,4.7,33.9,23.6,1
Palestine Technical University - Kadoorie,/universities/palestine-technical-university-kadoorie,Asia,Palestinian Territories,Tulkarm,https://www.topuniversities.com/sites/default/files/211007110530am411120330px-Ptuk-48x48.jpg,n/a,119,,False,False,73,101+,101+,25,73,73,51+,101+,101+,51+,37.7,5.2,5.8,76.8,21,16.2,7.4,8.5,18,12.9
University of Sadat City,/universities/university-sadat-city,Africa,Egypt,El Sadat,https://www.topuniversities.com/sites/default/files/university-of-sadat-city_592560e49988f300e232192d_small.jpg,n/a,120,,False,False,101+,101+,101+,85,n/a,101+,51+,101+,19,51+,1,3.3,11.7,25.5,n/a,5.6,1.5,13.9,85.9,2.5
Sidi Mohamed Ben Abdellah University,/universities/sidi-mohamed-ben-abdellah-university,Africa,Morocco,Fez,https://www.topuniversities.com/sites/default/files/sidi-mohamed-ben-abdellah-university_592560e49988f300e232175f_small.jpg,n/a,121,,False,False,49,32,38,101+,101+,101+,51+,86,101+,51+,63.7,71.2,45.7,2.9,1.1,4,7.3,24.7,1.1,1.6
Universit internationale de Rabat,/universities/universit-internationale-de-rabat,Africa,Morocco,Sala al jadida,https://www.topuniversities.com/sites/default/files/211115102918am476613logo-uir-48x48.jpg,n/a,122,,False,False,3,101+,60,101+,54,99,51+,101+,80,51+,100,6.3,32.1,7.7,48,7.8,4.8,12,27.1,6.2
Al al-Bayt University,/universities/al-al-bayt-university,Asia,Jordan,Mafraq,https://www.topuniversities.com/sites/default/files/230116094707pm865215standard-jpg-48x48.jpg,n/a,123,,False,False,16,101+,82,101+,101+,98,51+,101+,101+,51+,93.6,13.2,21.8,3.8,5,8.2,12.9,18.8,1.2,8.4
Menoufia University,/universities/menoufia-university,Africa,Egypt,Shebeen El-Kom,https://www.topuniversities.com/sites/default/files/menoufia-university_592560e29988f300e2321290_small.jpg,n/a,124,,False,False,101+,39,99,69,n/a,101+,51+,69,101+,51+,1.3,65.5,17.2,32.7,n/a,2.6,6.6,31.1,4.4,3.8
Minia University,/universities/minia-university,Africa,Egypt,Minya,https://www.topuniversities.com/sites/default/files/minia-university_592560cf2aeae70239af59f8_small.jpg,n/a,125,,False,False,101+,49,101+,40,101+,101+,51+,80,101+,51+,4.1,58.1,11.4,54.1,1,2.4,9.2,26.7,6.4,2.8
Nile University,/universities/nile-university,Africa,Egypt,Giza,https://www.topuniversities.com/sites/default/files/nile-university_592560e29988f300e23212a4_small.jpg,n/a,126,,False,False,101+,101+,27,101+,101+,101+,51+,101+,64,51+,1,5.2,64.5,11.1,1.5,3.6,7.5,17.5,36.8,6.5
October University for Modern Sciences and Arts (MSA),/universities/modern-sciences-arts-university,Africa,Egypt,6th of October City,https://www.topuniversities.com/sites/default/files/october-university-for-modern-sciences-and-arts-msa_592560e29988f300e2321298_small.jpg,n/a,127,,False,False,101+,101+,101+,93,101+,101+,51+,101+,40,51+,1,1.4,7,22.8,1.3,3.3,6.4,14.4,56.3,7.5
Soran University,/universities/soran-university,Asia,Iraq,Soran,https://www.topuniversities.com/sites/default/files/soran-university_592560e39988f300e232136c_small.jpg,n/a,128,,False,False,101+,101+,101+,10,93,101+,51+,101+,69,51+,1,7.4,9.6,96,10.2,1.3,6.2,12.4,33.8,4.3
University of Petra,/universities/university-petra,Asia,Jordan,Amman,https://www.topuniversities.com/sites/default/files/university-of-petra_592560df9988f300e23208db_small.jpg,n/a,129,,False,False,77,101+,101+,101+,94,31,51+,100,101+,51+,33.8,5.2,15.4,6.3,9.5,44.3,16.5,21,6.1,14.3
Université Hassan II de Casablanca,/universities/universite-hassan-ii-de-casablanca,Africa,Morocco,Casablanca,https://www.topuniversities.com/sites/default/files/universit-hassan-ii-de-casablanca_592560e09988f300e2320ccd_small.jpg,n/a,130,,False,False,84,36,81,101+,101+,101+,51+,92,101+,51+,22.7,68,22,4.3,1.1,5,8.7,22.2,1.6,4.4
Université de Tunis,/universities/universite-de-tunis,Africa,Tunisia,Tunis,https://www.topuniversities.com/sites/default/files/universit-de-tunis_592560cf2aeae70239af5470_small.jpg,n/a,131,,False,False,101+,101+,84,101+,101+,101+,51+,101+,99,51+,1,8.6,21.3,5.7,2,4.2,25.3,6.5,19.1,9.4
Al Akhawayn University Ifrane,/universities/al-akhawayn-university-ifrane,Africa,Morocco,Ifranne,https://www.topuniversities.com/sites/default/files/al-akhawayn-university-ifrane_592560cf2aeae70239af4ee7_small.jpg,n/a,132,,False,False,96,101+,44,101+,64,101+,51+,58,83,51+,17.5,3.1,42,12.9,34.2,7.2,7,35.5,25.9,4.5
Al Baha University,/universities/al-baha-university,Asia,Saudi Arabia,Al Baha,https://www.topuniversities.com/sites/default/files/al-baha-university_592560cf2aeae70239af538b_small.jpg,n/a,133,,False,False,101+,101+,101+,101+,33,101+,51+,79,76,51+,10,11,6.5,15.9,77.6,4.8,5.4,27,30.8,2.2
Al-Hussein bin Talal University,/universities/al-hussein-bin-talal-university,Asia,Jordan,Ma'an,https://www.topuniversities.com/sites/default/files/220202112007am543437AHU-Logo-48x48.jpg,n/a,134,,False,False,72,93,87,101+,101+,101+,51+,101+,101+,51+,39,19.6,20.7,18.3,2.1,3,8.5,12.8,9.6,11.4
Arab Open University - Kuwait,/universities/arab-open-university-kuwait,Asia,Kuwait,Al-Ardiya,https://www.topuniversities.com/sites/default/files/231113112934am925329AOU-Kuwait-Logo-Color-48x48.jpg,n/a,135,,False,False,101+,101+,101+,21,25,7,51+,101+,101+,51+,6.6,1.3,12,80,93.6,100,9,1,1,5.6
Damascus University,/universities/damascus-university,Asia,Syria,Damascus,https://www.topuniversities.com/sites/default/files/damascus-university_592560cf2aeae70239af546d_small.jpg,n/a,136,,False,False,87,101+,101+,101+,101+,85,51+,101+,101+,51+,21.6,11.2,4.3,3.3,1.5,11.1,19.8,16.3,1,17.8
Fayoum University,/universities/fayoum-university,Africa,Egypt,Fayoum,https://www.topuniversities.com/sites/default/files/fayoum-university_592560e29988f300e2321259_small.jpg,n/a,137,,False,False,101+,57,101+,53,101+,101+,51+,101+,101+,51+,10.3,42.4,7.5,41.4,4.6,2.2,7.6,20.6,16.8,3.4
Ferhat Abbas Setif University 1,/universities/ferhat-abbas-setif-university-1,Africa,Algeria,Setif,https://www.topuniversities.com/sites/default/files/ferhat-abbas-setif-university-1_592560e29988f300e2321296_small.jpg,n/a,138,,False,False,19,87,89,101+,101+,101+,51+,101+,101+,51+,91.3,22.3,20.1,18.3,1.1,1.9,5,20.5,3.4,3.4
Islamic University of Madinah,/universities/islamic-university-madinah,Asia,Saudi Arabia,Madinah,https://www.topuniversities.com/sites/default/files/islamic-university-in-madinah_592560cf2aeae70239af4f16_small.jpg,n/a,139,,False,False,91,101+,101+,101+,87,5,51+,101+,101+,51+,19.6,5.8,6.1,18.1,13.7,100,16.5,2.1,11.5,4.9
Najran University,/universities/najran-university,Asia,Saudi Arabia,Najran,https://www.topuniversities.com/sites/default/files/najran-university_592560cf2aeae70239af545a_small.jpg,n/a,140,,False,False,101+,101+,101+,19,55,101+,51+,96,101+,51+,1.4,15.4,11,81.4,47.4,6.8,5.1,21.6,18.4,2.7
Salahaddin University-Erbil,/universities/salahaddin-university-erbil,Asia,Iraq,Erbil,https://www.topuniversities.com/sites/default/files/salahaddin-university-erbil_592560cf2aeae70239af5a03_small.jpg,n/a,141,,False,False,101+,95,101+,101+,101+,101+,51+,101+,59,51+,1.2,18.3,4.4,13.5,2.6,3,3.9,15.8,41.1,7.6
South Valley University,/universities/south-valley-university,Africa,Egypt,Qena,https://www.topuniversities.com/sites/default/files/211013091726am828984download-48x48.jpg,n/a,142,,False,False,101+,63,101+,91,n/a,101+,51+,75,101+,51+,1.3,37,13.6,23,n/a,1.6,11.3,29.6,1.6,5.3
Sudan University of Science and Technology,/universities/sudan-university-science-technology,Africa,Sudan,Khartoum,https://www.topuniversities.com/sites/default/files/sudan-university-of-science-and-technology_592560cf2aeae70239af5a0f_small.jpg,n/a,143,,False,False,101+,101+,101+,101+,101+,101+,51+,13,101+,51+,3.3,4.7,4.3,6.1,1.7,3.3,15,92.4,2.9,8.1
University of Anbar,/universities/university-anbar,Asia,Iraq,Ramadi,https://www.topuniversities.com/sites/default/files/220627090951pm582521200-48x48.jpg,n/a,144,,False,False,64,101+,101+,101+,101+,101+,51+,101+,101+,51+,45.2,15.9,16,3.4,2.1,1.2,9.7,11.6,16.3,6.8
University of Hafr Albatin,/universities/university-hafr-albatin,False,False,False,https://www.topuniversities.com/sites/default/files/210816045828pm248538uhb-logo-48x48.jpeg,n/a,145,,False,False,23,78,101+,58,56,96,51+,101+,101+,51+,89,26,7.9,39.3,46.1,8.2,1.2,10.8,2.3,1.3
University of Mosul,/universities/university-mosul,Asia,Iraq,Mosul,https://www.topuniversities.com/sites/default/files/university-of-mosul_592560cf2aeae70239af5457_small.jpg,n/a,146,,False,False,101+,92,101+,101+,101+,n/a,51+,101+,101+,51+,1.5,20.2,6,1.6,1,n/a,13.2,20.6,17,10.2
University of Sulaimani,/universities/university-sulaimani,Asia,Iraq,Sulaimani,https://www.topuniversities.com/sites/default/files/university-of-sulaimani_592560cf2aeae70239af5625_small.jpg,n/a,147,,False,False,101+,79,101+,51,101+,101+,51+,101+,97,51+,3.6,25.7,7.1,42.4,5.4,2,5.3,1,20.5,7.9
