University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Value for Money Rank,Diversity Rank,Thought Leadership Rank,Employability Rank,Alumni Outcomes Rank,Value for Money Score,Diversity Score,Thought Leadership Score,Employability Score,Alumni Outcomes Score
HEC Paris,/universities/hec-paris-business-school/hec-paris-mba,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/hec-paris-mba_15094_small.jpg,100,1,,False,False,=1,59+,1,1,=1,100,75.1,98.6,99.6,100
ESSEC Business School,/universities/essec-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/essec-business-school_198_small.jpg,96,2,,False,False,=1,20+,6,9,6,100,91,93.6,88.4,99.1
London Business School,/universities/london-business-school,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/london-business-school_592560cf2aeae70239af4be5_small.jpg,93.4,3,,False,False,48,63+,7,2,=1,80.9,74.3,93.2,97.3,100
IE Business School,/universities/ie-university/ie-business-school,Europe,Spain,Segovia,https://www.topuniversities.com/sites/default/files/profiles/logos/230302032731pm314785IE-BS-logo-200x200-48x48.jpg,92.8,4,,False,False,6,29+,9,11,11,98.6,86,92.8,87.2,89.6
INSEAD,/universities/insead,Europe,France,Fontainebleau,https://www.topuniversities.com/sites/default/files/profiles/logos/insead_592560cf2aeae70239af4ba8_small.jpg,91.6,5,,False,False,15,101+,4,4,20,95.3,63.5,94.1,94.6,82.6
ESCP Europe,/universities/escp-business-school-paris,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/escp-business-school-paris_592560cf2aeae70239af4b44_small.jpg,91.2,6,,False,False,21,12+,17,5,28,92.8,94.8,85.1,92.9,79.1
ESADE/UVA McIntire/Lingnan,/universities/university-virginia/mcintire-school-commerce,North America,United States,"Charlottesville (VA), Barcelona, Ghangzhou",https://www.topuniversities.com/sites/default/files/profiles/logos/mcintire-school-of-commerce_59da0a6cca24f37c1b2b4d5e_small.jpg,90.9,7,,False,False,12,111+,2,10,13,96.7,60.8,98.2,88,88.6
Esade Business School,/universities/esade,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/230126101541am990261logo-esade-200x200-48x48.jpg,89.7,8,,False,False,14,59+,5,6,=44,95.5,75.1,93.9,92.2,69.6
Copenhagen Business School,/universities/copenhagen-business-school,Europe,Denmark,Copenhagen,https://www.topuniversities.com/sites/default/files/profiles/logos/copenhagen-business-school_710_small.jpg,88.4,9,,False,False,56,66+,13,8,=4,77.9,73.9,89,89,99.7
WU Vienna,/universities/wu-vienna-university-economics-business,Europe,Austria,Vienna,https://www.topuniversities.com/sites/default/files/profiles/logos/wu-vienna-university-of-economics-and-business_592560cf2aeae70239af4d89_small.jpg,86.5,10,,False,False,70,67+,3,7,16,72.2,73.4,95.4,90.5,85.2
CEMS,/universities/cems-global-alliance-management-education,Europe,France,World-Wide,https://www.topuniversities.com/sites/default/files/profiles/logos/220111105646am810827CEMS-Logo-Square-48x48.jpeg,86.4,11,,False,False,11,31+,18,14,26,96.8,84.7,82.9,82.6,79.5
Bocconi University,/universities/bocconi-university/sda-bocconi-school-management,Europe,Italy,Milan,https://www.topuniversities.com/sites/default/files/profiles/logos/sda-bocconi-school-of-management_592560cf2aeae70239af555f_small.jpg,86.3,12,,False,False,=18,82+,16,12,17,93.8,68.3,85.9,84.6,84.8
EMlyon business school,/universities/emlyon-business-school,Europe,France,Lyon,https://www.topuniversities.com/sites/default/files/profiles/logos/211005052214pm924585emlyon-logo-seul-cmjn-48x48.jpg,85.6,13,,False,False,22,19+,14,=26,14,92,91.8,88.3,74.3,88.4
Imperial College Business School,/universities/imperial-college-london/imperial-college-business-school,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/imperial-college-business-school_592560cf2aeae70239af580f_small.jpg,84.3,14,,False,False,121-130,32+,11,3,22,53.2,84.6,91.7,96.5,80.7
EDHEC Business School,/universities/edhec-business-school,Europe,France,Roubaix,https://www.topuniversities.com/sites/default/files/profiles/logos/edhec-business-school_179_small.jpg,82.8,15,,False,False,5,49+,=25,18,30,98.8,79.3,77.2,77.5,78.4
Erasmus (RSM),/universities/erasmus-university-rotterdam/rotterdam-school-management-erasmus-university,Europe,Netherlands,Rotterdam,https://www.topuniversities.com/sites/default/files/profiles/logos/210722010220pm240208Untitled-design-48x48.jpg,81.6,16,,False,False,33,62+,12,15,50,86.1,74.5,91.2,80.2,66.9
London School of Economics,/universities/london-school-economics-political-science-lse,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/london-school-of-economics-and-political-science-lse_362_small.jpg,80.6,17,,False,False,141-150,13+,10,16,7,49,94.2,92.6,79.4,97
Warwick Business School,/universities/university-warwick/warwick-business-school,Europe,United Kingdom,Coventry,https://www.topuniversities.com/sites/default/files/profiles/logos/warwick-business-school_592560cf2aeae70239af5573_small.jpg,80,18,,False,False,89,9+,8,17,37,64.2,95.6,93.1,78.3,74.3
Michigan (Ross),/universities/university-michigan-ann-arbor/michigan-ross-school-business,North America,United States,Ann Arbor (MI),https://www.topuniversities.com/sites/default/files/profiles/logos/michigan-ross-school-of-business_592560cf2aeae70239af5886_small.jpg,79.2,19,,False,False,8,101+,21,=42,9,97.8,63.4,79.1,65.7,95
Duke (Fuqua),/universities/duke-university/fuqua-school-business,North America,United States,Durham (NC),https://www.topuniversities.com/sites/default/files/profiles/logos/the-fuqua-school-of-business_592560cf2aeae70239af56da_small.jpg,76.5,20,,False,False,9,93+,43,47,8,97.4,66.3,68.9,63.5,96
Peking University HSBC Business School,/universities/peking-university/peking-university-hsbc-business-school-phbs,Asia,China (Mainland),shenzhen,https://www.topuniversities.com/sites/default/files/profiles/logos/peking-university-hsbc-business-school_592560cf2aeae70239af591f_small.jpg,76.1,21,,False,False,94,111+,19,13,21,62.8,60.4,82,82.8,81.7
WHU (Otto Beisheim),/universities/whu-otto-beisheim-school-management,Europe,Germany,Koblenz,https://www.topuniversities.com/sites/default/files/profiles/logos/Design-ohne-Titel-48x48.jpg,75.6,22,,False,False,=18,141+,=25,53,=4,93.8,51.3,77.2,61.2,99.7
Manchester (Alliance),/universities/university-manchester/alliance-manchester-business-school,Europe,United Kingdom,Manchester,https://www.topuniversities.com/sites/default/files/profiles/logos/alliance-manchester-business-school_592560cf2aeae70239af556d_small.jpg,74.7,23,,False,False,90,45+,15,36,24,63.7,79.9,87.9,70.1,80.4
SKEMA Business School,/universities/skema-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/skema-business-school_592560cf2aeae70239af4af5_small.jpg,74.7,24,,False,False,74,4+,30,29,46,70.2,98.1,74.9,73.5,69.2
University of Sydney Business School,/universities/university-sydney/university-sydney-business-school,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-sydney-business-school_592560cf2aeae70239af58ba_small.jpg,73.9,25,,False,False,66,46+,32,35,23,73.4,79.6,74.4,70.3,80.5
"University of Mannheim, Business School",/universities/universitat-mannheim/mannheim-business-school,Europe,Germany,Mannheim,https://www.topuniversities.com/sites/default/files/profiles/logos/mannheim-business-school_592560cf2aeae70239af556e_small.jpg,73.3,26,,False,False,=50,80+,20,31,59,80.5,68.9,79.4,72.8,62.2
TUM School of Management,/universities/technical-university-munich/tum-school-management,Europe,Germany,Munich,https://www.topuniversities.com/sites/default/files/profiles/logos/tum-school-of-management_592560cf2aeae70239af55ab_small.jpg,71.5,27,,False,False,49,89+,39,22,73,80.7,67.5,72,76.3,54.2
Cranfield School of Management,/universities/cranfield-university/cranfield-school-management,Europe,United Kingdom,Bedford,https://www.topuniversities.com/sites/default/files/profiles/logos/SOM-logo-200x200-1-48x48.jpg,70.3,28,,False,False,71,74+,38,30,55,71.7,72.2,72.3,72.9,63.9
Vlerick Business School,/universities/vlerick-business-school,Europe,Belgium,Gent,https://www.topuniversities.com/sites/default/files/profiles/logos/vlerick-business-school_592560cf2aeae70239af4d14_small.jpg,69.9,29,,False,False,38,100+,47,32,=60,84.5,64.3,64.7,72.1,61.4
BI Norwegian Business School,/universities/bi-norwegian-business-school,Europe,Norway,Oslo,https://www.topuniversities.com/sites/default/files/profiles/logos/bi-norwegian-business-school_592560cf2aeae70239af4abb_small.jpg,69.2,30,,False,False,83,141+,24,28,48,66.4,53.3,77.5,73.6,68
Indian Institute of Management Bangalore,/universities/indian-institute-management-iim-bangalore,Asia,India,Bangalore,https://www.topuniversities.com/sites/default/files/profiles/logos/indian-institute-of-management-iim-bangalore_1903_small.jpg,68.4,31,,False,False,=100,151+,22,33,10,60.2,24.2,78.8,71.8,94
UCD (Smurfit),/universities/university-college-dublin/ucd-michael-smurfit-graduate-business-school,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/profiles/logos/ucd-michael-smurfit-graduate-business-school_592560cf2aeae70239af558b_small.jpg,68.3,32,,False,False,54,90+,45,34,64,79.3,67.4,65.9,70.5,59.2
University of Edinburgh Business School,/universities/university-edinburgh-business-school,Europe,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-edinburgh-business-school_14432_small.jpg,67.6,33,,False,False,111-120,24+,29,40,52,55.3,88.8,75.5,68.1,65.8
Nova School of Business,/universities/nova-school-business-economics,Europe,Portugal,Lisbon,https://www.topuniversities.com/sites/default/files/nova-school-of-business-and-economics_592560cf2aeae70239af599b_medium_1.jpg,67.5,34,,False,False,57,61+,33,25,141-150,77.7,75,74.2,74.9,30.1
Grenoble Ecole de Management,/universities/grenoble-ecole-de-management/grenoble-ecole-de-management,Europe,France,Grenoble,https://www.topuniversities.com/sites/default/files/profiles/logos/grenoble-ecole-de-management-grenoble-gsb_592560cf2aeae70239af5883_small.jpg,67.4,35,,False,False,59,25+,23,52,89,76.2,88.4,78,61.3,49.1
British Columbia (Sauder),/universities/university-british-columbia/sauder-school-business,North America,Canada,Vancouver (BC),https://www.topuniversities.com/sites/default/files/profiles/logos/sauder-school-of-business_592560cf2aeae70239af5916_small.jpg,66.2,36,,False,False,101-110,51+,37,51,29,59.3,78.6,72.6,61.4,78.6
Politecnico di Milano,/universities/polimi-graduate-school-management,Europe,Italy,Milano,https://www.topuniversities.com/sites/default/files/profiles/logos/220518034753pm4921441651566898417-48x48.jpg,66,37,,False,False,=50,98+,=60,24,101-110,80.5,64.5,61.1,75.3,41
Universidad Complutense de Madrid (UCM),/universities/complutense-university-madrid,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/profiles/logos/complutense-university-of-madrid_592560cf2aeae70239af4bff_small.jpg,65.6,38,,False,False,10,18+,90,69,63,97,93.1,51.3,54.7,59.5
Trinity College Dublin,/universities/trinity-college-dublin-university-dublin/trinity-college-dublin,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/profiles/logos/trinity-college-dublin_19518_small.jpg,65.4,39,,False,False,131-140,37+,=49,39,36,51.9,82.4,63.9,69.4,74.4
Audencia Business School,/universities/audencia-business-school,Europe,France,Nantes,https://www.topuniversities.com/sites/default/files/profiles/logos/audencia-business-school_592560cf2aeae70239af4db3_small.jpg,64.9,40,,False,False,101-110,13+,=60,46,=44,58.8,94.2,61.1,64.3,69.6
EBS Business School,/universities/ebs-business-school,Europe,Germany,Oestrich-Winkel,https://www.topuniversities.com/sites/default/files/profiles/logos/ebs-business-school_203_small.jpg,64.6,41,,False,False,16,141+,111-120,50,33,94.6,53.1,44.7,61.5,76.1
IIM Ahmedabad,/universities/indian-institute-management-iim-ahmedabad,Asia,India,Ahmedabad,https://www.topuniversities.com/sites/default/files/profiles/logos/indian-institute-of-management-ahmedabad_1901_small.jpg,64.3,42,,False,False,131-140,151+,40,19,25,52.3,22.9,70.5,77,80.3
Frankfurt School of Finance & Management,/universities/frankfurt-school-finance-management,Europe,Germany,Frankfurt am Main,https://www.topuniversities.com/sites/default/files/profiles/logos/frankfurt-school-of-finance-management_592560cf2aeae70239af5775_small.jpg,63.9,43,,False,False,34,91+,97,=20,131-140,85.8,67.2,49.8,76.9,31.8
Fundação Getulio Vargas (FGV),/universities/fundacao-getulio-vargas-fgv,Latin America,Brazil,São Paulo,https://www.topuniversities.com/sites/default/files/fundao-getulio-vargas-fgv_206_small.jpg,63.7,44,,False,False,151+,151+,56,=20,3,30.2,48.9,62.1,76.9,99.9
KEDGE Business School,/universities/kedge-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/kedge-business-school_592560e19988f300e2320ed3_small.jpg,63.3,45,,False,False,67,51+,83,=42,65,73.3,78.6,52.6,65.7,59
Boston (Questrom),/universities/boston-university/questrom-school-business,North America,United States,Boston (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/school-of-management-boston-university_14153_small.jpg,63,46,,False,False,41,98+,101-110,=66,15,82.9,64.5,46.1,55.2,87.8
HKUST,/universities/hong-kong-university-science-technology/hkust-business-school,Asia,Hong Kong SAR,Hong Kong SAR,https://www.topuniversities.com/sites/default/files/profiles/logos/hkust-business-school_592560cf2aeae70239af582d_small.jpg,62.9,47,,False,False,151+,95+,=25,23,68,37.5,65.3,77.2,76.2,56.6
Antwerp Management School,/universities/antwerp-management-school,Europe,Belgium,Antwerp,https://www.topuniversities.com/sites/default/files/profiles/logos/antwerp-management-school_592560cf2aeae70239af5389_small.jpg,62.8,48,,False,False,=50,92+,51,55,70,80.5,66.4,63.4,59.1,56
Western (Ivey),/universities/university-western-ontario/ivey-business-school,North America,Canada,London (ON),https://www.topuniversities.com/sites/default/files/profiles/logos/ivey-business-school_592560cf2aeae70239af58c2_small.jpg,61.3,49,,False,False,63,83+,=78,=56,39,74.1,68.1,53.8,57.3,72
IIM Calcutta,/universities/indian-institute-management-iim-calcutta,Asia,India,Kolkata,https://www.topuniversities.com/sites/default/files/profiles/logos/indian-institute-of-management-iim-calcutta_592560cf2aeae70239af5204_small.jpg,61.2,50,,False,False,141-150,151+,35,=26,=40,46.8,24.6,73.3,74.3,71
Durham University Business School,/universities/durham-university-business-school,Europe,United Kingdom,Durham,https://www.topuniversities.com/sites/default/files/profiles/logos/durham-university-business-school-_592560cf2aeae70239af595f_small.jpg,60.4,51,,False,False,111-120,30+,48,45,98,55.5,85.5,64.6,65.1,47
EGADE Business School,/universities/tecnologico-de-monterrey/egade-business-school,Latin America,Mexico,Monterrey,https://www.topuniversities.com/sites/default/files/profiles/logos/egade-business-school_592560cf2aeae70239af558c_small.jpg,60.4,52,,False,False,101-110,151+,73,38,43,60.1,43.3,55.8,69.6,70.3
Universidad Carlos III de Madrid,/universities/universidad-carlos-iii-de-madrid-uc3m/universidad-carlos-iii-de-madrid-business-school,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/profiles/logos/universidad-carlos-iii-de-madrid-the-business-school_592560cf2aeae70239af570c_small.jpg,59.5,53,,False,False,36,77+,31,63,151+,84.8,69.5,74.5,55.5,22.7
University of Bristol,/universities/university-bristol/school-accounting-finance,Europe,United Kingdom,Bristol,https://www.topuniversities.com/sites/default/files/profiles/logos/220922091736am521921download-48x48.jpg,58.8,54,,False,False,=80,50+,77,70,53,66.8,79,54.3,54.4,65.3
Texas A&M University,/universities/texas-am-university/mays-business-school,North America,United States,College Station (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/mays-business-school_592560cf2aeae70239af56ff_small.jpg,58.2,55,,False,False,35,121+,91,101-110,35,85.3,57.1,51.1,46.2,75.4
Solvay (Brussels),/universities/universite-libre-de-bruxelles/solvay-brussels-school-economics-management-ulb,Europe,Belgium,Brussels,https://www.topuniversities.com/sites/default/files/profiles/logos/210825101055am68524120150118-SBSEM-OfficialLogoSquare-1700x1700-min-48x48.jpg,58,56,,False,False,53,151+,111-120,41,93,79.6,50.3,44.1,66.5,48.3
IESEG School of Management,/universities/ieseg-school-management-lille-paris-france,Europe,France,"Lille, Paris",https://www.topuniversities.com/sites/default/files/profiles/logos/iseg-school-of-management-lille-paris-france_2447_small.jpg,57.5,57,,False,False,96,2+,53,131-140,27,62,99.4,62.7,37.3,79.4
City University of Hong Kong,/universities/city-university-hong-kong,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/profiles/logos/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg,57.4,58,,False,False,141-150,111+,58,37,88,47.6,61.2,61.3,69.9,49.6
Aalto University,/universities/aalto-university/aalto-university-school-business,Europe,Finland,Helsinki,https://www.topuniversities.com/sites/default/files/profiles/logos/230906055705am675157aalto-biz-logo-48x48.jpg,56.6,59,,False,False,131-140,151+,28,49,=94,52.3,44.4,76.1,62.1,48
Bath School of Management,/universities/university-bath/university-bath-school-management,Europe,United Kingdom,Bath,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-bath-school-of-management_592560cf2aeae70239af55b4_small.jpg,55,60,,False,False,151+,23+,44,=59,58,30.5,89.5,67.8,56.3,62.3
Maryland (Smith),/universities/university-maryland-college-park/university-maryland-robert-h-smith-school-business,North America,United States,College Park (MD),https://www.topuniversities.com/sites/default/files/profiles/logos/robert-h.-smith-school-of-business_14553_small.jpg,55,61,,False,False,40,131+,101-110,141-150,12,83,53.4,48.7,36.1,89.4
Shanghai Jiao Tong (Antai),/universities/shanghai-jiao-tong-university/antai-college-economics-management,Asia,China (Mainland),"Shanghai, Shenzhen, Singapore",https://www.topuniversities.com/sites/default/files/profiles/logos/antai-college-of-economics-management_592560cf2aeae70239af58a3_small.jpg,54.1,62,,False,False,131-140,151+,55,54,66,51.7,42,62.2,60.1,58.9
ESMT Berlin,/universities/esmt-berlin,Europe,Germany,Berlin,https://www.topuniversities.com/sites/default/files/profiles/logos/esmt-berlin_592560cf2aeae70239af5753_small.jpg,53.4,63,,False,False,62,71+,65,75,151+,74.6,72.8,57.4,52.7,27.9
Thammasat Business School,/universities/thammasat-university/thammasat-business-school,Asia,Thailand,Bangkok,https://www.topuniversities.com/sites/default/files/profiles/logos/thammasat-business-school_5f18352610ca607e852e7395_small.jpg,53.3,64,,False,False,121-130,101+,63,=78,=60,53.3,62,59.7,51.9,61.4
Toulouse Business School,/universities/tbs-education,Europe,France,Toulouse,https://www.topuniversities.com/sites/default/files/profiles/logos/211004092943am9012571-Logo-TBS-Education-ROND-CMJN-fond-rouge-2020-48x48.jpg,55,65,,False,False,=91,15+,63,92,121-130,63.1,93.3,60.3,48.8,37.2
Birmingham Business School,/universities/university-birmingham/birmingham-business-school,Europe,United Kingdom,Birmingham,https://www.topuniversities.com/sites/default/files/profiles/logos/birmingham-business-school_592560cf2aeae70239af55b3_small.jpg,53.2,66,,False,False,151+,55+,=49,72,72,43.7,76.8,63.9,53.5,54.5
Leeds University Business School,/universities/university-leeds/leeds-university-business-school,Europe,United Kingdom,Leeds,https://www.topuniversities.com/sites/default/files/profiles/logos/leeds-university-business-school-university-of-leeds_15210_small.jpg,52.8,67,,False,False,151+,34+,42,68,77,30.4,83.9,69.6,55.1,53.4
EAE Business School,/universities/eae-business-school,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/eae-business-school_592560cf2aeae70239af4b30_small.jpg,52.6,68,,False,False,=1,54+,151+,=64,151+,100,78.2,23.4,55.3,24.8
